id	post_type	slug	title	target_slug
2	page	profile	このブログを書いている人	nice-to-meet-you-10
270	page	what-is-this-blog	このブログについて：みるめもとは	nice-to-meet-you-10
82	post	iwannabetheguy-map	I Wanna be the Guy の全体マップをつくった	i-wanna-recommend
142	post	donkey-2-soundtrack	ドンキー 2 のサントラになぜ 20 万もの値が付くのか考える	game-ranking
314	post	kazaguru-mouse	「かざぐるマウス」で、ワンランク上のPC作業を手に入れる	kazaguru-mouse-matome
314	post	kazaguru-mouse	「かざぐるマウス」で、ワンランク上のPC作業を手に入れる	windows-settings
328	post	firefox-plugin	Firefoxにとりあえず入れておきたいアドオンおすすめ13選	adblockplus-whitefilter
328	post	firefox-plugin	Firefoxにとりあえず入れておきたいアドオンおすすめ13選	vivaldi
636	post	kirby-sdx	僕の中でのカービィの原点はスーパーデラックスにあるかもしれない	kirby-future-kirby
636	post	kirby-sdx	僕の中でのカービィの原点はスーパーデラックスにあるかもしれない	microtonal-music
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	apk-app-install
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	memo-widget
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	from-windows-to-android
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	android-browser
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	twitter-client
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	radio-relax
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	gboard
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	auto-scroll
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	mercari-sell
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	tasker-example
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	wi-fi-auto-onoff
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	notify-filtering
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	earphone-er4pt
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	memo-widget
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	nova-launcher
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	crypto-currency
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	android-9-notification
689	post	android-app	誰も知らない超便利 Android アプリおすすめ 40 選	line-notification
861	post	game-ranking	SFC/N64/GC/Wii(U)/Switch/PS1~4 などゲームソフト個人的おすすめランキング50選！	kirby-future-kirby
861	post	game-ranking	SFC/N64/GC/Wii(U)/Switch/PS1~4 などゲームソフト個人的おすすめランキング50選！	mario-odyssey-review
861	post	game-ranking	SFC/N64/GC/Wii(U)/Switch/PS1~4 などゲームソフト個人的おすすめランキング50選！	chrono-trigger-symphony
861	post	game-ranking	SFC/N64/GC/Wii(U)/Switch/PS1~4 などゲームソフト個人的おすすめランキング50選！	kingdom-hearts
861	post	game-ranking	SFC/N64/GC/Wii(U)/Switch/PS1~4 などゲームソフト個人的おすすめランキング50選！	xenoblade2-review
861	post	game-ranking	SFC/N64/GC/Wii(U)/Switch/PS1~4 などゲームソフト個人的おすすめランキング50選！	celeste-review
861	post	game-ranking	SFC/N64/GC/Wii(U)/Switch/PS1~4 などゲームソフト個人的おすすめランキング50選！	indiesgames
861	post	game-ranking	SFC/N64/GC/Wii(U)/Switch/PS1~4 などゲームソフト個人的おすすめランキング50選！	celeste-chapter-9
861	post	game-ranking	SFC/N64/GC/Wii(U)/Switch/PS1~4 などゲームソフト個人的おすすめランキング50選！	falcom-message
861	post	game-ranking	SFC/N64/GC/Wii(U)/Switch/PS1~4 などゲームソフト個人的おすすめランキング50選！	supermario-rpg
861	post	game-ranking	SFC/N64/GC/Wii(U)/Switch/PS1~4 などゲームソフト個人的おすすめランキング50選！	kirby-sdx
861	post	game-ranking	SFC/N64/GC/Wii(U)/Switch/PS1~4 などゲームソフト個人的おすすめランキング50選！	donkey-2-soundtrack
861	post	game-ranking	SFC/N64/GC/Wii(U)/Switch/PS1~4 などゲームソフト個人的おすすめランキング50選！	i-wanna-recommend
861	post	game-ranking	SFC/N64/GC/Wii(U)/Switch/PS1~4 などゲームソフト個人的おすすめランキング50選！	indies-game-recommend
